iteration,mean,std
0,-3810201.4915879183,9195.035155439398
10,-1966301.7700149964,106656.52105738905
20,-1786936.8784694362,121289.22887533178
30,-1715230.6001700666,109089.61511377833
40,-1673186.6892766547,95754.12809404155
50,-1659461.109312564,85043.4893595494
60,-1632990.0930896848,60122.817021140916
70,-1628828.155558403,52513.275528621394
80,-1607732.9917448645,40588.16665669887
90,-1580907.2677075178,51853.90321514555
100,-1576914.84418067,48337.11054283262
110,-1556167.2394604664,61921.55622577629
120,-1526145.3508615906,52641.463834563365
130,-1493607.6314590022,64904.533073936465
140,-1477782.3369795475,66824.42940925724
150,-1465682.7082137784,55236.46085154888
160,-1483622.5249445818,57116.668156253916
170,-1466696.4144606588,54006.208724545235
180,-1480284.0738388519,48419.86962266645
190,-1491462.9585113525,53390.2727542102
200,-1460882.0522535508,49911.43841260132
210,-1470023.4596218695,48433.574285430324
220,-1444579.1821883644,48906.09691261999
230,-1463743.4358129147,44957.97790609877
240,-1451217.0967014101,42998.86679828675
250,-1456878.6322358744,32507.934606821425
260,-1454018.6547620292,40806.82230552785
270,-1465503.5487515586,44198.40507064551
280,-1464554.9488196557,41393.07528618649
290,-1449835.5796736605,54846.00740818806
300,-1455739.4800629106,45225.23283224496
310,-1455974.9422489519,44843.509616237956
320,-1458330.292501275,48993.121016733734
330,-1463878.8109999278,44687.13711283071
340,-1459158.7668186706,50346.031500798555
350,-1457503.0639923667,51371.11954301743
360,-1457625.7956177178,43379.058546032174
370,-1453175.1471556644,42987.6375170615
380,-1457402.9398331894,40882.90110388756
390,-1459262.1542839853,40816.738318588876
400,-1458647.4459109262,40801.560161379086
410,-1452651.50819157,43853.62641958188
420,-1460103.8720572267,37480.87854823285
430,-1461159.907929579,38928.08817723179
440,-1459149.2980561128,40459.532680992
450,-1446455.9740300234,41200.39731644977
460,-1452268.227023658,41493.060855010954
470,-1456770.997366138,47277.491931242614
480,-1480469.3874086358,88258.38864998486
490,-1443761.4488030567,49663.611073779204
500,-1451859.6812951516,47759.77959713714
510,-1454159.3215911775,45391.19374765784
520,-1448539.7144007657,36002.689319010504
530,-1442056.45868843,39251.70326361478
540,-1455574.4917816308,41431.21381116767
550,-1463492.4178089476,37074.87393761381
560,-1468220.4227629318,33720.834458130004
570,-1449807.6244536245,38361.18511490614
580,-1434321.210911442,50318.931448882184
590,-1423905.3479220185,66989.93786277181
600,-1419890.7731421562,58489.78914288962
610,-1421957.379322478,67529.58005798783
620,-1435755.2650925948,64027.850682960845
630,-1422469.4216590996,66581.9612790159
640,-1427764.2955943362,67391.14817190765
650,-1423328.6503642271,78193.1399419312
660,-1431208.6497296523,79778.63966742429
670,-1420307.7684624621,60482.54276783342
680,-1427998.0396669502,70174.94843338587
690,-1442609.3957377423,71823.64753701637
700,-1432201.3827527636,71889.0625077248
710,-1426127.387605133,83215.26623973259
720,-1433670.6130582038,84621.46355559891
730,-1429306.275546512,82824.10448484059
740,-1412675.9520386276,77541.42662245565
750,-1409626.1277093547,69673.45780148938
760,-1412583.151633566,76655.82006691983
770,-1413969.2823466775,63760.16329301617
780,-1404724.6463387278,71100.68524295486
790,-1405154.0498385509,74838.59652795098
800,-1404374.065415637,67814.67487276946
810,-1391350.373143737,80148.00811316153
820,-1391112.5059943325,93932.53924194456
830,-1384518.8494662386,92411.01208609999
840,-1382759.5450720275,93639.04934247278
850,-1390882.1163438787,81202.67752936487
860,-1392947.1310293865,93937.28037834798
870,-1382256.2977187198,82035.14817603007
880,-1384078.8859832666,80356.15015817311
890,-1387106.8498720801,93593.22458451435
900,-1375837.485251246,82153.25364749522
910,-1364753.449457317,88680.83059462991
920,-1376435.0915612143,86402.37455112085
930,-1386055.5877241162,92990.83955519737
940,-1374869.4188661543,92251.27333332744
950,-1371959.7558007776,88675.73681527637
960,-1370025.4062557314,86640.2228589773
970,-1388681.850132516,81700.89108724994
980,-1372253.1527602205,80114.39923704325
990,-1381476.5997157,82228.9033921588
1000,-1382415.9122974097,76704.58846544869
1010,-1381442.2502125984,85830.42031741493
1020,-1385404.3540561097,80955.22783982172
1030,-1366211.952748089,70391.18710390828
1040,-1369073.0659715454,89644.49024631962
1050,-1355147.2644583327,84684.40819490419
1060,-1350767.696707545,79989.54385840402
1070,-1351916.5502256313,87294.90951457134
1080,-1357532.8349665534,107230.57005858867
1090,-1347315.305765951,109803.08198251425
1100,-1351799.6183763298,107345.41515134428
1110,-1333130.4356454997,94386.39945893736
1120,-1328641.9886731938,93431.6697455214
1130,-1351571.229397115,95798.5064222635
1140,-1335619.6247492703,98158.08235529895
1150,-1346868.1798175152,112907.02589202985
1160,-1352879.9216172078,106328.81743976157
1170,-1352784.0381271692,98715.56494039878
1180,-1350324.6186742524,92323.74624650796
1190,-1335584.3055418239,90795.55814008514
1200,-1331575.80583057,90661.09041113804
1210,-1335698.1676444272,99248.91108267495
1220,-1346492.940380068,102912.32153125796
1230,-1346458.6139038561,111464.73436601613
1240,-1332965.2802687683,128747.23895808283
1250,-1333696.4892033418,130546.33653793676
1260,-1337830.4736107555,134344.55985097092
1270,-1332735.0843510055,133075.77000589945
1280,-1320832.0493878953,125167.92649993156
1290,-1328296.46834298,119256.33649259331
1300,-1316850.3395068508,121582.73061376465
1310,-1308291.8794539894,118090.1893396647
1320,-1321796.59063418,118535.74832344342
1330,-1322086.5965594193,116358.08736931179
1340,-1329687.0797132477,120771.51321650606
1350,-1330068.8244747561,121692.74171390523
1360,-1320976.219096773,113548.48197441336
1370,-1317426.5421115025,115368.28555705465
1380,-1328729.7419889069,121522.27899053192
1390,-1326346.3858832202,116306.40952443462
1400,-1333756.5780290742,111487.26879091038
1410,-1310806.7736777836,110761.60218164233
1420,-1314068.0706146709,110706.844639687
1430,-1305763.7695258535,113192.16122511662
1440,-1302486.274328425,103736.68667367115
1450,-1313231.976822567,107659.7012043464
1460,-1323539.0066343942,116614.13767544326
1470,-1312812.1661383738,110268.80083796546
1480,-1320928.093754779,118430.77803582356
1490,-1315031.5478338173,114542.6967794504
1500,-1321379.5532502336,110625.39874573471
1510,-1321461.623823036,117747.0245074648
1520,-1325797.2850311764,114575.51400631756
1530,-1320658.3740982064,106238.1917169607
1540,-1306948.6016779284,116939.73505452611
1550,-1300307.6746151098,124174.4682577572
1560,-1305086.2107529459,112456.0076708648
