iteration,mean,std
0,-5806754.181586056,2279.9253653593173
10,-5795932.25388519,3391.301119113539
20,-5775516.199226559,14080.215500405922
30,-5751776.840320537,28245.99190715758
40,-5727376.779552836,44634.242229674026
50,-5704374.811809963,60006.25392931835
60,-5681694.558445527,75696.34286868222
70,-5659072.876778219,91339.83495461223
80,-5636748.934904598,106768.5873501789
90,-5614679.612658745,122099.51409116214
100,-5592847.030837986,137246.70033595283
110,-5571409.103256336,152207.92190367493
120,-5549949.675273018,166874.42094177305
130,-5528672.516558872,181419.42285047754
140,-5507722.494826096,195673.53445186128
150,-5486926.376502426,209756.78698025484
160,-5466209.818168225,223593.56810684587
170,-5445761.95967618,237349.33376170203
180,-5425564.808214384,250746.2974138331
190,-5405490.758343393,263915.09149755933
200,-5385777.427695657,276894.5260195499
210,-5366115.545187148,289598.34109610727
220,-5346690.0541803185,302158.5510574863
230,-5327520.5263947435,314339.8542545141
240,-5308572.191712384,326347.73997676955
250,-5289916.408066964,338062.08132959006
260,-5271375.54167286,349583.98446877213
270,-5253155.975554173,360849.86925980536
280,-5235207.3993205875,371833.0510855104
290,-5217481.7390609905,382556.38758997753
300,-5199990.212547151,393050.28961991513
310,-5182792.685406992,403225.6124651699
320,-5165899.476732181,413147.84593055426
330,-5149255.331035711,422921.5116132825
340,-5132880.72738006,432294.7995813601
350,-5116754.4033249,441466.9185440661
360,-5100987.032073389,450401.8565428561
370,-5085366.10131773,458979.70075841853
380,-5070226.201706201,467361.5435642091
390,-5055276.04273028,475412.00555551314
400,-5040606.785791431,483238.0488159749
410,-5026121.845487724,490861.12085562083
420,-5012037.548273442,498222.55444567796
430,-4998083.811209282,505344.1167678107
440,-4984458.4324531425,512162.7450345681
450,-4970977.493790006,518868.70133673877
460,-4957744.614267864,525425.9238731378
470,-4944712.179696332,531728.8005457126
480,-4931800.760295713,537973.543894054
490,-4919080.965379224,544094.7699496895
500,-4906515.398466004,550154.1941879266
510,-4894074.643742429,556068.5102659593
520,-4881825.893858433,561949.8172184129
530,-4869668.181364582,567661.1850384775
540,-4857603.367470688,573244.7369911243
550,-4845887.76222497,578615.1782976647
560,-4834350.922185566,583908.6684504078
570,-4823010.465247387,588972.5124571904
580,-4811957.580446588,593809.2888346
590,-4801228.933440923,598447.1628357732
